source_module,target_module,source_path,target_path
mediapipeline.core.config.preset_library,mediapipeline.core.config.preset_migration,src/mediapipeline/core/config/preset_library.py,src/mediapipeline/core/config/preset_migration.py
mediapipeline.core.config.preset_library,mediapipeline.core.config.preset_policy,src/mediapipeline/core/config/preset_library.py,src/mediapipeline/core/config/preset_policy.py
mediapipeline.core.config.preset_library,mediapipeline.core.kernel.dto_commands,src/mediapipeline/core/config/preset_library.py,src/mediapipeline/core/kernel/dto_commands.py
mediapipeline.core.config.preset_migration,mediapipeline.contracts.config,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/contracts/config.py
mediapipeline.core.config.preset_migration,mediapipeline.contracts.decision_policy,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/contracts/decision_policy.py
mediapipeline.core.config.preset_migration,mediapipeline.core.config.encoding_capabilities,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/core/config/encoding_capabilities.py
mediapipeline.core.config.preset_migration,mediapipeline.core.config.preset_compatibility,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/core/config/preset_compatibility.py
mediapipeline.core.config.preset_migration,mediapipeline.core.config.preset_display_adapter,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/core/config/preset_display_adapter.py
mediapipeline.core.config.preset_migration,mediapipeline.core.config.preset_migration_models,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/core/config/preset_migration_models.py
mediapipeline.core.config.preset_migration,mediapipeline.core.config.preset_policy,src/mediapipeline/core/config/preset_migration.py,src/mediapipeline/core/config/preset_policy.py
mediapipeline.core.config.preset_migration_models,mediapipeline.contracts.config,src/mediapipeline/core/config/preset_migration_models.py,src/mediapipeline/contracts/config.py
mediapipeline.core.config.preset_migration_models,mediapipeline.contracts.verification,src/mediapipeline/core/config/preset_migration_models.py,src/mediapipeline/contracts/verification.py
mediapipeline.core.config.preset_policy,mediapipeline.contracts.height_tolerance,src/mediapipeline/core/config/preset_policy.py,src/mediapipeline/contracts/height_tolerance.py
mediapipeline.core.config.preset_policy,mediapipeline.contracts.verification,src/mediapipeline/core/config/preset_policy.py,src/mediapipeline/contracts/verification.py
mediapipeline.core.config.preset_policy,mediapipeline.core.config.preset_encoding_sections,src/mediapipeline/core/config/preset_policy.py,src/mediapipeline/core/config/preset_encoding_sections.py
mediapipeline.core.config.preview,mediapipeline.contracts.config,src/mediapipeline/core/config/preview.py,src/mediapipeline/contracts/config.py
mediapipeline.core.config.preview,mediapipeline.core.config.constants,src/mediapipeline/core/config/preview.py,src/mediapipeline/core/config/constants.py
mediapipeline.core.config.preview,mediapipeline.core.config.contracts,src/mediapipeline/core/config/preview.py,src/mediapipeline/core/config/contracts.py
mediapipeline.core.config.preview,mediapipeline.core.config.library_profiles,src/mediapipeline/core/config/preview.py,src/mediapipeline/core/config/library_profiles.py
mediapipeline.core.config.profiles,mediapipeline.core.config.constants,src/mediapipeline/core/config/profiles.py,src/mediapipeline/core/config/constants.py
mediapipeline.core.config.recovery,mediapipeline.core.config.identity,src/mediapipeline/core/config/recovery.py,src/mediapipeline/core/config/identity.py
mediapipeline.core.config.recovery,mediapipeline.core.kernel.config_locations,src/mediapipeline/core/config/recovery.py,src/mediapipeline/core/kernel/config_locations.py
mediapipeline.core.config.rollout,mediapipeline.core.config.preset_policy,src/mediapipeline/core/config/rollout.py,src/mediapipeline/core/config/preset_policy.py
mediapipeline.core.config.save_runner,mediapipeline.core.config.contracts,src/mediapipeline/core/config/save_runner.py,src/mediapipeline/core/config/contracts.py
